,Unnamed: 0,label,text
0,557,negative,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis
1,6404,positive,@SouthwestAir thank you for your help resolving my problem Shannon ROCKS - even though Rhonda didn't !!
2,3959,positive,@united received my bag. I appreciate taking care of the matter and following up!
3,3230,negative,@united b/c of your delay now you are oversold by 14 passengers?!??? This is a mess! What are you going to do to compensate?
4,3663,negative,"@united It was quite enjoyable. 😊 

Except now he's stuck on the runway in Houston. 😕"
5,8665,positive,.@JetBlue 4 min response time. I'm impressed! I'm in. It's official.  :-) #trueblue  JetBlue gets social.
6,7460,positive,@JetBlue thanks for replying-I feel a little better we'll see how it goes ☺️✈️
7,6076,negative,@SouthwestAir I spoke to soon... My bag was lost.. :(
8,2630,negative,"@united not even mentioning how rude the customer service was to us. As a business owner, I'd be mortified if my employees acted as yours"
9,2212,negative,@united is the worst
10,14017,neutral,@AmericanAir American Airlines.
11,6645,negative,@SouthwestAir can i have my bags back   ding!!
12,2691,negative,@united second time flying into Houston and 45+ mins waiting for luggage at baggage. Typical? Still waiting..
13,14238,negative,@AmericanAir flight 3056 in D/FW now delayed 2 hours waiting sitting in plane for baggage to be loaded - why?
14,6996,neutral,............. RT @JetBlue: Our fleet's on fleek. http://t.co/X7iLzqdwe2
15,4947,negative,@SouthwestAir baggage delivery at BWI very delayed and unnecessarily chaotic. Disappointing after a long trip! From a frequent traveler
16,1315,positive,@united have Michelle at T1 ORD train your other staff on how to treat customers. A refreshing pleasure to deal with.
17,3872,negative,"@united  delayed about 8 hours because of missed connections due to mechanical issues on 1st flight. rebooked, but please call me 9148445695"
18,5492,neutral,@SouthwestAir no her lunch was over by the time she got her call answered
19,7614,negative,@JetBlue why don't YOU tell them to update the boards?!
20,6172,positive,@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!
21,6456,negative,@SouthwestAir Being old I will miss my connection and can sleep at OAK or get a hotel on my own dime rubs me the wrong way. I wasn’t Late Flight.
22,5036,negative,@SouthwestAir grouchy about this flight 636 #complimentarybeveragesneeded
23,3849,negative,@united JH: going to process my refund for wifi. its asking for a receipt #? I never received an email- you guys just whacked my credit card
24,5314,negative,@SouthwestAir My husband a first time flyer with you has had the worst experience on board a aircraft just a few minutes ago.
25,12996,positive,@AmericanAir thanks. Delivery status??
26,14114,negative,@AmericanAir @sarahzou translation: we don't reinvest our mammoth profits into the customer service experience. 'Cause we don't care.
27,2434,negative,"@united Great!  I'm guessing you were Late Flight to open, service is horrible, you're overcharging, and don't care that everyone is miserable."
28,4578,positive,@SouthwestAir eyes next steps for improving #inflight #Wifi - Runway Girl http://t.co/h46HT1Oz40
29,9700,negative,@USAirways I think it's a little weak sauce you have zero inflight entertainment for a 4 hour flight from Salt Lake to Philadelphia
30,111,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
31,6474,positive,@SouthwestAir Awesome - thanks!
32,6654,neutral,@SouthwestAir @NotPghTimothy no exceptions for national awards?
33,3165,negative,@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.
34,10800,negative,@USAirways it's painful being on hold to you!! Really 25 minutes to change a flight!! http://t.co/ocqk0JFXuA
35,4944,negative,@SouthwestAir if you have a rules you should probably apply them all the times not just sometimes. #shouldhaveflownjetblue
36,3710,negative,@united I think you guys had a half full flight at 4 so you held our overbooked 3pm flight to fill the other one then Cancelled Flightled mine
37,10075,negative,@USairways E190 lands without nose gear in Houston - @Flightglobal http://t.co/Yf9NhMwyFF
38,694,negative,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???
39,14520,negative,@AmericanAir my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport
40,3858,neutral,"@united FAIL set to song. http://t.co/Axpn28xiQB ""United Breaks Guitars"" &lt; LMAO!"
41,13025,negative,"@AmericanAir Was put on hold for 5.5 hrs then got a call back at 11:20 pm, only to wait on hold for another hour."
42,11191,negative,@USAirways  will be stuck in PHX overnight.  Service is getting worse.  Flying southwest from now on.
43,6951,neutral,@JetBlue @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments. why would you do that?
44,11135,negative,@USAirways we bought our tickets months ago. Had seats together for all 6. Haven't changed flight. Now 4 kids seats are scattered on plane.
45,6588,positive,@SouthwestAir got it squared away. Thank you. I had a man on the inside help me out!
46,11050,neutral,@USAirways @AskPayPal So I contacted my bank. They took the money out today. I also contacted @USAirways they said my reservation is
47,11415,negative,"@USAirways really, so what does that mean??? #usairwayssucks"
48,1174,negative,"@united ,now you have Cancelled Flightled my wife and daughter's flt?? What's going on? Follow me so I can dm details."
49,13057,negative,@AmericanAir 77min still on hold to chg award travel #sorrynotsorry
50,9612,negative,@USAirways the only time I tweet is to tell you how horrible you're attendants are. Flight 3841 to LGA. I feel in jail
51,8012,neutral,@JetBlue you know it!!
52,10345,negative,"@USAirways As a member of the news media, the awful service of the last few days won't go unnoticed."
53,9975,negative,"@USAirways @ClaudOakeshott don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk."
54,10778,neutral,@USAirways any chance of a travel advisory or DCA this weekend?
55,12964,negative,"@AmericanAir Miami-PhL flight Cancelled Flightled just as I got to the gate. No one from AA around, no one on the phone. Awful awful awful."
56,6270,negative,@SouthwestAir I just wanted Southwest to know that I don't think they're as great as I used to anymore. Nothing to look into.
57,9124,negative,"@USAirways @united two broken airplanes, two days Late Flightr and I'm stranded after a funeral and missing out on my last semester of #college. 👍"
58,2134,negative,@United also ran out of water and refused service #costumerservice #legit #jk
59,10209,negative,@USAirways on hold with 800-428-4322. Flight from DSM to DCA was Cancelled Flighted (4473). Know when it will fly?
60,12319,neutral,@AmericanAir yes I do I am traveling to Marsh Harbor
61,4564,negative,@SouthwestAir hope your flyers get a credit of some sort for all the delays and Cancelled Flightlations #shittydeal #notimpressed
62,6489,negative,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help"
63,13959,negative,@AmericanAir - where are my bags? Baggage claim C25 or C26 (flt# 959)?? I can see the plane from here? Why does it take 25 min???
64,128,neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
65,659,negative,@united not able to DM you my confirmation number
66,11934,neutral,@AmericanAir did you know that suicide is the second leading cause of death among teens 10-24?
67,5438,neutral,@SouthwestAir I have a flight on Sunday the 22nd to Columbus from Denver. I just got a travel alert on my southwest app. Is the rescheduling
68,14335,negative,"@AmericanAir not sure what this means but son and I will certainly have operational needs for seats during Flt. 1679 next Friday, yet..."
69,5306,negative,@SouthwestAir What do you call that??!!
70,6312,negative,"@SouthwestAir There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight."
71,5710,negative,@SouthwestAir why did you book my hotel twice?!?! Ahhhhh
72,10870,negative,"@USAirways I needed to be at my destination by lunchtime today. No one could get us on a flight, but I've since learned @Delta had one!"
73,1009,negative,@united Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.
74,8514,negative,@JetBlue : ur Wed BWI-BOSTON flights (8pm) really need to be better scheduled! They are almost always delayed!
75,14121,neutral,@AmericanAir you wont allow calls? My husband has a ticket but it looks like all the seats are taken? I cant even call.
76,3550,neutral,@united followed &amp; DM'd.
77,11963,negative,"@AmericanAir lost my cats, missed their flights, kept them crated 30 hrs for a  would-be 5 hr trip. You'll never touch my pets again."
78,11522,neutral,@USAirways How long does it take to receive ticket # from @AmericanAir for itin booked via http://t.co/79waJk7EyT on US flights?
79,5867,positive,"@SouthwestAir ok, gotcha! ✈️😃👍"
80,5960,neutral,@SouthwestAir are there any flights from MSP to HRL in March? I'm looking at 3/19-3/23
81,1776,neutral,@united I don't know what DM the confirmation number means.
82,9635,negative,@USAirways your a miserable airline and your loss of revenue is a reflection of that.  Go extinct.  A merger only delays the inevitable
83,7001,negative,@JetBlue Not helping since there's a bunch of us trying to get off at the same time.
